
=== MEMORY LOOP - FRAMEWORK BACKEND CLI ===
(i) Audit statique AST de tous les modules sous src/...
  * [RULE-AST-01] (L710) : Plafond modulaire d├®pass├® : 710 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L710) : Taille de fichier excessive : 30646 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/engine/fact_search/retriever.py ---
Statut : [FAIL] VIOLATIONS | 681 lignes | 24570 octets | 4.34 ms
Violations relev├®es :
  * [RULE-AST-01] (L681) : Plafond modulaire d├®pass├® : 681 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L681) : Taille de fichier excessive : 24570 octets (seuil strict = 15360 octets / 15 Ko).
(i) [PASS] src/engine/fact_search/structural_extractor.py (238 lignes, 2.2ms)
(i) [PASS] src/engine/fact_search/__init__.py (80 lignes, 0.6ms)
(i) [PASS] src/engine/gates/simplicity_guard.py (162 lignes, 1.2ms)
(i) [PASS] src/engine/gates/verification_leakage.py (229 lignes, 1.8ms)
(i) [PASS] src/engine/gates/__init__.py (14 lignes, 0.3ms)
(i) [PASS] src/engine/hooks/path_resolver.py (135 lignes, 1.2ms)
(i) [PASS] src/engine/hooks/registry.py (68 lignes, 0.6ms)
(i) [PASS] src/engine/hooks/__init__.py (22 lignes, 0.4ms)
(i) [PASS] src/engine/rubber_duck/coherence.py (161 lignes, 1.5ms)
(i) [PASS] src/engine/rubber_duck/remediator.py (85 lignes, 0.6ms)
(i) [PASS] src/engine/rubber_duck/__init__.py (65 lignes, 0.5ms)
(i) [PASS] src/engine/sandbox/runner.py (127 lignes, 1.0ms)
(i) [PASS] src/engine/sandbox/__init__.py (3 lignes, 0.4ms)
(i) [PASS] src/loop_mem/context_pager.py (96 lignes, 0.9ms)
(i) [PASS] src/loop_mem/dpo_archive.py (78 lignes, 0.9ms)
(i) [PASS] src/loop_mem/hybrid_search.py (269 lignes, 2.5ms)
(i) [PASS] src/loop_mem/ollama_embed.py (57 lignes, 0.9ms)
(i) [PASS] src/loop_mem/rho_hybrid_search.py (281 lignes, 2.6ms)
(i) [PASS] src/loop_mem/supersession.py (143 lignes, 1.2ms)
(i) [PASS] src/loop_mem/_rho_stats.py (56 lignes, 0.6ms)
(i) [PASS] src/pipelines/agentic_doc_extractor.py (156 lignes, 1.1ms)
(i) [PASS] src/pipelines/agent_resilience.py (25 lignes, 0.3ms)
(i) [PASS] src/pipelines/aoep_runner.py (35 lignes, 0.4ms)
(i) [PASS] src/pipelines/arch_analyzer.py (186 lignes, 1.1ms)
(i) [PASS] src/pipelines/base.py (73 lignes, 0.6ms)
